TransactionDate,Representative,BioGuideID,ReportDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
2012-02-27,MR. ALAN S. LOWENTHAL,L000579,2014-05-15,EP$C,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2012-03-20,MR. ALAN S. LOWENTHAL,L000579,2014-05-15,EP$C,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2012-06-06,MR. ALAN S. LOWENTHAL,L000579,2014-05-15,KSU,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2012-07-24,MS. TAMMY DUCKWORTH,D000622,2014-07-08,PG,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2012-07-26,MS. TAMMY DUCKWORTH,D000622,2014-07-08,CAT,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2012-08-16,MS. TAMMY DUCKWORTH,D000622,2014-07-08,PG,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2012-09-13,THOMAS R. CARPER,C000174,2015-05-13,DD,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2012-11-13,MS. TAMMY DUCKWORTH,D000622,2014-07-08,LMT,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2012-12-17,THOMAS R. CARPER,C000174,2015-05-13,DD,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2013-01-01,MR. MICHAEL C. BURGESS,B001248,2014-08-01,ABBV,EXCHANGE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-01-02,MS. TAMMY DUCKWORTH,D000622,2014-07-08,ABBV,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2013-01-09,THAD COCHRAN,C000567,2014-06-11,GMXRQ,PURCHASE,8000.5,SENATE,1001.0,R,2023-11-14
2013-01-15,MR. BETO O'ROURKE,O000170,2014-06-01,KMI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2013-01-17,MR. ALAN S. LOWENTHAL,L000579,2014-05-15,GOOGL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2013-01-24,JEFFRY FLAKE,F000444,2014-05-09,AAPL,SALE (PARTIAL),8000.5,SENATE,1001.0,R,2023-11-14
