TransactionDate,Representative,BioGuideID,ReportDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
2019-01-02,VIRGINIA FOXX,F000450,2019-02-05,PPL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-02,JOHN RUTHERFORD,R000609,2019-01-02,ING,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-02,THOMAS SUOZZI,S001201,2021-09-23,SUP,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-02,EARL BLUMENAUER,B000574,2019-01-16,WY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-02,GILBERT CISNEROS,C001123,2019-02-13,SCG,EXCHANGE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-02,LAMAR SMITH,S000583,2019-01-10,PTLA,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-02,JACKY ROSEN,R000608,2019-02-21,DELL,EXCHANGE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-03,DAVID E. PRICE,P000523,2019-01-14,AAPL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-03,TOM MALINOWSKI,M001203,2021-03-05,NVGS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-03,DAVID PERDUE,P000612,2019-02-04,KN,SALE (PARTIAL),8000.5,SENATE,1001.0,R,2023-08-28
2019-01-03,JOHN RUTHERFORD,R000609,2019-01-31,SO,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-03,DAVID PERDUE,P000612,2019-02-04,WPX,PURCHASE,8000.5,SENATE,1001.0,R,2023-08-28
2019-01-03,JOSH GOTTHEIMER,G000583,2019-01-31,AAPL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-03,DAVID PERDUE,P000612,2019-02-04,AAPL,PURCHASE,8000.5,SENATE,1001.0,R,2023-08-28
2019-01-03,DAVID PERDUE,P000612,2019-02-04,BWXT,PURCHASE,8000.5,SENATE,1001.0,R,2023-08-28
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,PM,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,BHF,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,BDX,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,SYK,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,MCK,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,IBM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,XRX,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,NICHOLAS VAN TAYLOR,T000479,2019-02-15,AJG,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-04,NICHOLAS VAN TAYLOR,T000479,2019-02-15,COST,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,ATVI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,VIRGINIA FOXX,F000450,2019-02-05,OLP,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,LIN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,MMM,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,NICHOLAS VAN TAYLOR,T000479,2019-02-15,FNF,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,FDX,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,STX,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,REGN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,K. MICHAEL CONAWAY,C001062,2019-03-04,SPG,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,M,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,BEN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,IP,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,INTU,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,NICHOLAS VAN TAYLOR,T000479,2019-02-15,FB,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,GWW,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,K. MICHAEL CONAWAY,C001062,2019-03-04,NOC,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,ALGN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,ITW,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2019-01-04,DEAN PHILLIPS,P000616,2019-02-18,AAL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
