TransactionDate,Representative,BioGuideID,ReportDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
2024-01-02,KEVIN HERN,H001082,2024-02-11,VUZI,SALE,8000.5,REPRESENTATIVES,1001.0,R,2024-02-12
2024-01-02,MICHAEL C. BURGESS,B001248,2024-01-22,ILMN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2024-01-23
2024-01-02,MICHAEL C. BURGESS,B001248,2024-01-22,AMD,SALE,8000.5,REPRESENTATIVES,1001.0,R,2024-01-23
2024-01-02,MICHAEL C. BURGESS,B001248,2024-01-22,ILMN,SALE,8000.5,REPRESENTATIVES,1001.0,R,2024-01-23
2024-01-02,KEVIN HERN,H001082,2024-02-11,EXAS,SALE,8000.5,REPRESENTATIVES,1001.0,R,2024-02-12
2024-01-03,TOMMY TUBERVILLE,T000278,2024-02-14,ORCL,SALE (PARTIAL),8000.5,SENATE,1001.0,R,2024-02-15
2024-01-03,TOMMY TUBERVILLE,T000278,2024-02-14,BMY,SALE (PARTIAL),8000.5,SENATE,1001.0,R,2024-02-15
2024-01-03,TOMMY TUBERVILLE,T000278,2024-02-14,GOOGL,SALE (PARTIAL),8000.5,SENATE,1001.0,R,2024-02-15
2024-01-04,MARKWAYNE MULLIN,M001190,2024-01-26,GS,PURCHASE,8000.5,SENATE,1001.0,R,2024-01-28
2024-01-04,MARKWAYNE MULLIN,M001190,2024-01-26,SFM,PURCHASE,8000.5,SENATE,1001.0,R,2024-01-28
2024-01-04,MARKWAYNE MULLIN,M001190,2024-01-26,ELF,PURCHASE,8000.5,SENATE,1001.0,R,2024-01-28
2024-01-04,MARKWAYNE MULLIN,M001190,2024-01-26,CYBR,PURCHASE,8000.5,SENATE,1001.0,R,2024-01-28
2024-01-04,MARKWAYNE MULLIN,M001190,2024-01-26,ZTS,PURCHASE,8000.5,SENATE,1001.0,R,2024-01-28
2024-01-04,MARKWAYNE MULLIN,M001190,2024-01-26,FRPT,PURCHASE,8000.5,SENATE,1001.0,R,2024-01-28
2024-01-04,MARKWAYNE MULLIN,M001190,2024-01-26,ETN,PURCHASE,8000.5,SENATE,1001.0,R,2024-01-28
2024-01-04,MARKWAYNE MULLIN,M001190,2024-01-26,AXON,PURCHASE,8000.5,SENATE,1001.0,R,2024-01-28
2024-01-04,MARKWAYNE MULLIN,M001190,2024-01-26,BMI,PURCHASE,8000.5,SENATE,1001.0,R,2024-01-28
2024-01-04,MARKWAYNE MULLIN,M001190,2024-01-26,OLLI,PURCHASE,8000.5,SENATE,1001.0,R,2024-01-28
2024-01-05,JOHN JAMES,J000307,2024-09-02,V,SALE,8000.5,REPRESENTATIVES,1001.0,R,2024-09-03
2024-01-08,VIRGINIA FOXX,F000450,2024-02-05,SCHX,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2024-02-06
2024-01-09,BLAKE MOORE,M001213,2024-01-24,BA,SALE,8000.5,REPRESENTATIVES,1001.0,R,2024-01-24
