TransactionDate,Representative,BioGuideID,ReportDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
2013-01-01,MR. MICHAEL C. BURGESS,B001248,2014-08-01,ABBV,EXCHANGE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-01-09,THAD COCHRAN,C000567,2014-06-11,GMXRQ,PURCHASE,8000.5,SENATE,1001.0,R,2023-11-14
2013-01-24,JEFFRY FLAKE,F000444,2014-05-09,AAPL,SALE (PARTIAL),8000.5,SENATE,1001.0,R,2023-11-14
2013-01-24,PETE SESSIONS,S000250,2015-05-14,STT,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-01-30,PETE SESSIONS,S000250,2015-05-14,PNC,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-04-08,PETE SESSIONS,S000250,2015-05-14,WCRX,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-04-15,PETE SESSIONS,S000250,2015-05-14,WFT,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-04-15,PETE SESSIONS,S000250,2015-05-14,BHP,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-04-16,PETE SESSIONS,S000250,2015-05-14,BDX,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-04-19,PETE SESSIONS,S000250,2015-05-14,AAPL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-04-22,PETE SESSIONS,S000250,2015-05-14,IBM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-04-22,PETE SESSIONS,S000250,2015-05-14,WFT,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-04-26,PETE SESSIONS,S000250,2015-05-14,EMR,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-04-29,MR. LAMAR SMITH,S000583,2014-07-30,QCOM,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-05-02,PETE SESSIONS,S000250,2015-05-14,WLL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-05-02,MR. LAMAR SMITH,S000583,2014-07-30,ARG,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-05-03,MR. LAMAR SMITH,S000583,2014-07-30,VCLT,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-05-06,PETE SESSIONS,S000250,2015-05-14,EXXI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-05-10,MR. LAMAR SMITH,S000583,2014-07-30,TSCO,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-05-10,PETE SESSIONS,S000250,2015-05-14,KEY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-05-20,MR. LAMAR SMITH,S000583,2014-07-30,SWI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-05-30,PETE SESSIONS,S000250,2015-05-14,GIS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-05-31,PETE SESSIONS,S000250,2015-05-14,BCE,EXCHANGE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-06-06,THAD COCHRAN,C000567,2014-06-11,TRN,PURCHASE,8000.5,SENATE,1001.0,R,2023-11-14
2013-07-25,THAD COCHRAN,C000567,2014-06-11,CMLP,EXCHANGE,8000.5,SENATE,1001.0,R,2023-11-14
2013-07-26,K. MICHAEL CONAWAY,C001062,2015-04-25,BBL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-07-26,K. MICHAEL CONAWAY,C001062,2015-04-25,EMR,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-07-26,K. MICHAEL CONAWAY,C001062,2015-02-17,EMR,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-07-26,K. MICHAEL CONAWAY,C001062,2015-02-17,BBL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-07-31,JEFFRY FLAKE,F000444,2014-05-09,AAPL,SALE (PARTIAL),8000.5,SENATE,1001.0,R,2023-11-14
2013-08-09,PETE SESSIONS,S000250,2015-05-14,SAPE,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-08-16,PETE SESSIONS,S000250,2015-05-14,CDNS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-09-04,MR. AUSTIN SCOTT,S001189,2014-08-29,PLUG,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-09-09,PETE SESSIONS,S000250,2015-05-14,DFS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-10-22,JEFFRY FLAKE,F000444,2014-05-09,AAPL,SALE (PARTIAL),8000.5,SENATE,1001.0,R,2023-11-14
2013-11-11,PETE SESSIONS,S000250,2015-05-14,EXC,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-11-12,PETE SESSIONS,S000250,2015-05-14,LEA,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-12-02,MR. BILL FLORES,F000461,2014-01-07,NGLS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
2013-12-06,MR. LAMAR SMITH,S000583,2014-01-16,DKS,SALE,8000.5,REPRESENTATIVES,1001.0,R,2023-11-16
