Representative,BioGuideID,TransactionDate,Ticker,Transaction,Range,House,Amount,Party
Rudy Yakym Iii,Y000067,2024-09-26,MATURE,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Marjorie Taylor Mrs Greene,G000596,2024-09-20,GOOG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Marjorie Taylor Mrs Greene,G000596,2024-09-20,CRWD,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Marjorie Taylor Mrs Greene,G000596,2024-09-20,BX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Marjorie Taylor Mrs Greene,G000596,2024-09-20,LRCX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Marjorie Taylor Mrs Greene,G000596,2024-09-20,BRK.B,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Marjorie Taylor Mrs Greene,G000596,2024-09-20,INTC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Marjorie Taylor Mrs Greene,G000596,2024-09-20,CAH,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Marjorie Taylor Mrs Greene,G000596,2024-09-20,SCCO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Marjorie Taylor Mrs Greene,G000596,2024-09-20,UPS,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Pete Sessions,S000250,2024-09-16,NVDA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
William R. Keating,K000375,2024-09-11,CAT,Sale,"$1,001 - $15,000",Representatives,1001.0,D
William R. Keating,K000375,2024-09-11,NXPI,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Max Miller,M001222,2024-09-10,GLA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Rudy Yakym Iii,Y000067,2024-09-10,MATURE,Purchase,"$50,001 - $100,000",Representatives,50001.0,R
Pete Sessions,S000250,2024-09-10,MO,Sale,"$1,001 - $15,000",Representatives,1001.0,R
